risk_type,country,keyword,query,title,url,domain,language,source_country,published_at,collected_at
disaster,Japan,flood,"""Japan"" ""flood""",日本庆5 . 13世界法轮大法日 民众支持 | 法轮功,https://www.epochtimes.com/gb/26/5/12/n14762493.htm,epochtimes.com,Chinese,,20260512T173000Z,2026-05-14T15:02:12.657505
disaster,Japan,flood,"""Japan"" ""flood""", 【 気象庁 】 エルニーニョ現象発生の可能性が90 ％ に … 長雨 、 大型台風 、 極端な風水害おそれ 「 大雨など早めの備えを 」 過去には  関東 ・ 東北豪雨  や  8 ・ 6水害  も,https://news.livedoor.com/article/detail/31250877/,news.livedoor.com,Japanese,,20260513T033000Z,2026-05-14T15:02:12.657525
disaster,Japan,typhoon,"""Japan"" ""typhoon""",  이름  만 같을 뿐인데 … 태풍  노루  오자  노루페인트  76 %  황당 급등  ,https://segye.com:443/newsView/20260513508554,segye.com,Korean,,20260513T153000Z,2026-05-14T15:02:26.536157
disaster,China,flood,"""China"" ""flood""",終結國民黨24年未參選東港鎮長 藍白共推洪志明 | 地方,https://www.cna.com.tw:443/news/aloc/202605120286.aspx,cna.com.tw,Chinese,,20260512T110000Z,2026-05-14T15:03:11.798187
disaster,China,flood,"""China"" ""flood""",金曲37 》 上次搶歌后哭到撞牆 洪佩瑜二度入圍出現 「 神奇巧合 」 ,https://ent.ltn.com.tw/news/breakingnews/5435777,ent.ltn.com.tw,Chinese,,20260513T090000Z,2026-05-14T15:03:11.798198
disaster,Germany,typhoon,"""Germany"" ""typhoon""",Türk füzeleri Almanyanın radarında : Yıldırımhan ve Tayfun için kritik süreç başlıyor,https://www.ahaber.com.tr/viral/galeri/tikla/almanyadan-yildirimhan-ve-tayfun-hamlesi-turk-fuzeleri-avrupada-dengeleri-degistirebilir,ahaber.com.tr,Turkish,,20260512T103000Z,2026-05-14T15:05:23.758654
disaster,Germany,typhoon,"""Germany"" ""typhoon""","Almanya , Yıldırımhan ve Tayfun füzelerini tedarik edebilir",https://www.donanimhaber.com/almanya-yildirimhan-ve-tayfun-fuzelerini-tedarik-edebilir--205516,donanimhaber.com,Turkish,,20260511T190000Z,2026-05-14T15:05:23.758665
disaster,Germany,tsunami,"""Germany"" ""tsunami""",Цунами цена хране стиже у Европу – шта очекује српске рафове,https://www.rts.rs/vesti/ekonomija/5946864/cunami-cena-hrane-stize-u-evropu--sta-ocekuje-srpske-rafove.html,rts.rs,Serbian,,20260511T200000Z,2026-05-14T15:05:33.070152
disaster,Germany,tsunami,"""Germany"" ""tsunami""",Rusia realiza pruebas de un nuevo misil balístico intercontinental,https://www.cadena3.com/noticia/mundo/rusia-realiza-pruebas-de-un-nuevo-misil-balistico-intercontinental_550593,cadena3.com,Spanish,,20260512T183000Z,2026-05-14T15:05:33.070164
disaster,United States,typhoon,"""United States"" ""typhoon""",Almanya rotayı Türkiyeye çevirdi : Yıldırımhan ve Tayfunu radarına aldı,https://www.dunya.com/ekonomi/almanya-rotayi-turkiyeye-cevirdi-yildirimhan-ve-tayfunu-radarina-aldi-haberi-824765,dunya.com,Turkish,,20260511T164500Z,2026-05-14T15:06:13.774322
